Date,MDY,QQQ,IEFA,VEA,ADRE,TLT,PHB,VCSH,SLV,DBB,DBO,GLD,,BH returns,BH cumprod
03/01/2006,,,,,,,,,,,,,,,1
04/01/2006,0.007094964,0.010409869,0,0,0.0083686,0.002397694,0,0,0,0,0,0.00338856,,0.002638307,1.002638307
05/01/2006,0.001452552,0.004312421,0,0,-0.000581227,-0.001196561,0,0,0,0,0,-0.01801124,,-0.001168671,1.001466553
06/01/2006,0.011386503,0.018129829,0,0,0.02059306,-0.001848781,0,0,0,0,0,0.026366088,,0.006218892,1.007694565
09/01/2006,0.004518096,0.003982499,0,0,0.009844413,0.000653158,0,0,0,0,0,0.016381185,,0.002948279,1.01066553
10/01/2006,0.005782186,0.000700814,0,0,-0.014985217,-0.008062204,0,0,0,0,0,-0.009890057,,-0.00220454,1.008437477
11/01/2006,0.000780877,0.007695728,0,0,0.01300498,-0.001647755,0,0,0,0,0,0.008693995,,0.002377319,1.010834855
12/01/2006,-0.004964456,-0.004860385,0,0,-0.008719883,0.006711672,0,0,0,0,0,-0.001833825,,-0.001138907,1.009683608
13/01/2006,-0.003563599,-0.000465275,0,0,0.006353136,0.005792807,0,0,0,0,0,0.018555912,,0.002222748,1.011927881
17/01/2006,-0.000572624,-0.006514149,0,0,-0.018535174,0.004454244,0,0,0,0,0,-0.003246759,,-0.002034538,1.009869075
18/01/2006,-0.00279111,-0.011476115,0,0,-0.007917009,-0.000324206,0,0,0,0,0,-0.02153454,,-0.003670248,1.006162604
19/01/2006,0.010478517,0.007345249,0,0,0.030756545,-0.002921729,0,0,0,0,0,0.028111716,,0.006147525,1.012348014
20/01/2006,-0.016478249,-0.029868909,0,0,-0.013225899,0.002604346,0,0,0,0,0,-0.007015639,,-0.005332029,1.006950145
23/01/2006,0.004332928,0.000242349,0,0,0.009480383,-0.00032503,0,0,0,0,0,0.010326081,,0.002004726,1.008968804
24/01/2006,0.008772294,0.004362592,0,0,0.019349188,-0.00487301,0,0,0,0,0,-0.000717248,,0.002241151,1.011230055
25/01/2006,-0.005773333,-0.004343643,0,0,-0.00166833,-0.010880577,0,0,0,0,0,0.007356897,,-0.001275749,1.00993998
26/01/2006,0.012546357,0.007028943,0,0,0.023707567,-0.004290581,0,0,0,0,0,-0.004631249,,0.00286342,1.012831862
27/01/2006,0.002903289,0.013478042,0,0,0.00909207,0,0,0,0,0,0,-0.004473872,,0.001749961,1.014604278
30/01/2006,0.000776742,0.00189971,0,0,0.007162436,-0.000994192,0,0,0,0,0,0.018874694,,0.002309949,1.016947962
31/01/2006,0.000846428,-0.004503477,0,0,0.007569895,0.002764927,0,0,0,0,0,0.000352866,,0.000585887,1.017543778
01/02/2006,0.007753381,0.003571143,0,0,-0.002352882,-0.00342108,0,0,0,0,0,0,,0.000462547,1.01801444
02/02/2006,-0.010980927,-0.017081795,0,0,-0.022515808,0.001888934,0,0,0,0,0,0.00493825,,-0.003645945,1.014302815
03/02/2006,-0.002192728,-0.012310287,0,0,-0.012840571,0.007094538,0,0,0,0,0,-0.008424,,-0.002389421,1.011879219
06/02/2006,0.006804028,-0.002688186,0,0,0.022388706,0.001980903,0,0,0,0,0,0.003893827,,0.002698273,1.014609545
07/02/2006,-0.015135562,-0.004410484,0,0,-0.030226068,-0.004722966,0,0,0,0,0,-0.037376634,,-0.007655976,1.006841719
08/02/2006,0.003574457,0.011567954,0,0,0.003657455,-0.002317995,0,0,0,0,0,0.004212516,,0.001724532,1.00857805
09/02/2006,-0.004273432,-0.00948906,0,0,0.004911777,0.004535453,0,0,0,0,0,0.024621529,,0.001692189,1.010284754
10/02/2006,7.12019E-05,0.006141116,0,0,-0.003784446,-0.005505799,0,0,0,0,0,-0.02474189,,-0.002318318,1.007942593
13/02/2006,-0.006008147,-0.01147454,0,0,-0.022631801,0.00011003,0,0,0,0,0,-0.019529105,,-0.00496113,1.002942058
14/02/2006,0.00777152,0.01012581,0,0,0.015545482,-0.003543619,0,0,0,0,0,0.01433359,,0.003686065,1.006638968
15/02/2006,0.004212971,0.006356796,0,0,-0.000638213,0.002445094,0,0,0,0,0,-0.013397015,,-8.50306E-05,1.006553373
16/02/2006,0.008603056,0.009232562,0,0,0.025848178,0.00022167,0,0,0,0,0,0.014136945,,0.004836867,1.011421938
17/02/2006,-0.003171819,-0.007943979,0,0,0.001166263,0.007979238,0,0,0,0,0,0.008070408,,0.000508343,1.011936087
21/02/2006,0.000706805,-0.011162661,0,0,0.000388554,-0.001649064,0,0,0,0,0,0.002911205,,-0.000733763,1.011193566
22/02/2006,0.005795168,0.012515069,0,0,0.002640063,0.006828073,0,0,0,0,0,0.003991314,,0.002647474,1.013870674
23/02/2006,-0.000351151,-0.002665506,0,0,-0.001007306,-0.002516489,0,0,0,0,0,-0.012649092,,-0.001599129,1.012249365
24/02/2006,0.005623213,0.00267263,0,0,0.006666869,-0.001533843,0,0,0,0,0,0.018301611,,0.002644207,1.014925961
27/02/2006,-0.001398351,0.011148823,0,0,-0.000846845,-0.001647872,0,0,0,0,0,-0.007548493,,-2.43948E-05,1.014901202
28/02/2006,-0.009798629,-0.014860733,0,0,-0.017264042,0.004950395,0,0,0,0,0,0.015392946,,-0.001798339,1.013076066
01/03/2006,0.015550603,0.013624977,0,0,0.027370624,-0.006040919,0,0,0,0,0,0.000535024,,0.004253359,1.017385042
02/03/2006,-0.002505675,0.000720205,0,0,0.001220747,-0.006963818,0,0,0,0,0,0.011408257,,0.00032331,1.017713973
03/03/2006,-0.007465861,-0.005756236,0,0,-0.009377557,-0.005787169,0,0,0,0,0,-0.008107206,,-0.003041169,1.014618932
06/03/2006,-0.007663755,-0.008685395,0,0,-0.019010222,-0.008731668,0,0,0,0,0,-0.018656703,,-0.005228979,1.009313512
07/03/2006,-0.012185298,-0.005840287,0,0,-0.031617779,0.000677361,0,0,0,0,0,-0.005069686,,-0.004502974,1.004768599
08/03/2006,0.003586035,0.000488696,0,0,-0.006886335,-0.000338451,0,0,0,0,0,-0.017834386,,-0.001748703,1.003011557
09/03/2006,-0.007932678,-0.008563202,0,0,-0.007424117,0.000338566,0,0,0,0,0,0.005002788,,-0.00154822,1.001458674
10/03/2006,0.009364488,0.000986966,0,0,0.014876906,-0.003724161,0,0,0,0,0,-0.007558994,,0.001162101,1.00262247
13/03/2006,0.006066362,0.002958839,0,0,0.006559705,-0.000792789,0,0,0,0,0,0.008916952,,0.001975756,1.004603407
14/03/2006,0.009435223,0.016961283,0,0,0.017378287,0.006688394,0,0,0,0,0,0.010311131,,0.005064527,1.009691247
15/03/2006,0.00758893,0.008460021,0,0,0.019217425,-0.005405953,0,0,0,0,0,0.004556224,,0.002868054,1.012587096
16/03/2006,-0.003835473,-0.008389049,0,0,-0.00481095,0.00905828,0,0,0,0,0,0.003991314,,-0.000332156,1.012250759
17/03/2006,0.004071355,0.002636709,0,0,4.72302E-05,-0.00302954,0,0,0,0,0,-0.003975447,,-2.08077E-05,1.012229696
20/03/2006,-0.003426126,0.002412414,0,0,0.003437417,0.00157604,0,0,0,0,0,0.000907098,,0.000408904,1.012643601
21/03/2006,-0.00813777,-0.010588992,0,0,-0.014948936,-0.005169716,0,0,0,0,0,-0.006162703,,-0.003750676,1.008845502
22/03/2006,0.008204537,0.002431835,0,0,0.009642671,0.002146779,0,0,0,0,0,-0.001459089,,0.001747228,1.010608185
23/03/2006,0.001262941,-0.002911608,0,0,-0.003052531,-0.003156204,0,0,0,0,0,-0.000913228,,-0.000730886,1.009869546
24/03/2006,0.005745431,0.005110432,0,0,0.008401587,0.007349275,0,0,0,0,0,0.01846432,,0.00375592,1.013662535
27/03/2006,-0.001253753,0.000242624,0,0,-0.001245806,-0.003703536,0,0,0,0,0,0.012206073,,0.000520467,1.014190113
28/03/2006,-0.003208802,-0.004115802,0,0,-0.020427475,-0.009351671,0,0,0,0,0,-0.005852066,,-0.003579651,1.010559666
29/03/2006,0.010357136,0.018959511,0,0,0.016874022,-0.004776239,0,0,0,0,0,0.018016381,,0.004952568,1.015564531
30/03/2006,0.001177053,0.003101331,0,0,0.008687899,-0.006970748,0,0,0,0,0,0.02680916,,0.002733725,1.018340805
31/03/2006,0.001452771,-0.002853342,0,0,0.003181765,-0.000345111,0,0,0,0,0,-0.008532423,,-0.000591362,1.017738597
03/04/2006,-0.00414432,0.001192295,0,0,0.028310419,0.000323644,0,0,0,0,0,0.006368378,,0.002670868,1.020456842
04/04/2006,0.004647177,0.005479165,0,0,0.004212474,-0.001039887,0,0,0,0,0,-0.00239438,,0.000908712,1.021384144
05/04/2006,0.008838025,0.009475907,0,0,0.006142426,0.001388104,0,0,0,0,0,0.005657432,,0.002625158,1.024065439
06/04/2006,0.001231572,0.002816046,0,0,0.000595381,-0.007621182,0,0,0,0,0,0.010569365,,0.000632598,1.024713261
07/04/2006,-0.011415435,-0.009594796,0,0,-0.015178284,-0.009774513,0,0,0,0,0,-0.011639653,,-0.004800223,1.019794408
10/04/2006,-0.002558586,-0.001417671,0,0,-0.001738078,0.001880305,0,0,0,0,0,0.017238408,,0.001117031,1.020933551
11/04/2006,-0.010259693,-0.008045942,0,0,-0.016044789,0.003518453,0,0,0,0,0,-0.009899332,,-0.003394275,1.017468221
12/04/2006,0.003291859,0.000239139,0,0,0.007230284,-0.006077609,0,0,0,0,0,0.007117472,,0.000983429,1.018468829
13/04/2006,-0.002093856,0.004053594,0,0,0.00610926,-0.007056357,0,0,0,0,0,0.001177851,,0.000182541,1.018654741
17/04/2006,0.002938071,-0.01045066,0,0,0.018823648,0.003671943,0,0,0,0,0,0.026722692,,0.003475474,1.02219505
18/04/2006,0.021205244,0.019202652,0,0,0.024435679,0.001770732,0,0,0,0,0,0.012440634,,0.006587912,1.02892918
19/04/2006,0.008470281,0.004475194,0,0,0.008581032,-0.006125732,0,0,0,0,0,0.030719508,,0.003843357,1.032883722
20/04/2006,0.001015253,-0.003517318,0,0,-0.007138481,-0.000829621,0,0,0,0,0,-0.04376472,,-0.004519574,1.028215528
21/04/2006,-0.002841529,-0.011764683,0,0,0.010530451,0.005812167,0,0,0,0,0,0.036745435,,0.00320682,1.03151283
24/04/2006,-0.00427504,-0.000952039,0,0,-0.00804857,0.004009701,0,0,0,0,0,-0.024525304,,-0.002815938,1.028608154
25/04/2006,0.001976451,-0.002145323,0,0,-0.007462105,-0.011863457,0,0,0,0,0,0.018329233,,-9.71001E-05,1.028508277
26/04/2006,-0.006461118,-0.000238593,0,0,0.013868235,-0.001663728,0,0,0,0,0,0.013857961,,0.001613563,1.03016784
27/04/2006,-0.002669826,0.00955587,0,0,-0.014398555,0.001309372,0,0,0,0,0,-0.010840572,,-0.001420309,1.028704683
28/04/2006,0.00700099,-0.009701914,0,0,0.011102914,0.000713693,0,0,0,0,0,0.033830961,,0.003578887,1.0323863
01/05/2006,-0.005929865,-0.009797067,0,0,0.008452194,-0.007515625,0,0,0.004199219,0,0,0.001075547,,-0.000792966,1.031567653
02/05/2006,0.008227769,0.00265438,0,0,0.024285752,0.002644204,0,0,0.035688528,0,0,0.021332095,,0.007902727,1.039719851
03/05/2006,-0.002652333,-0.001443944,0,0,-0.002167846,-0.002157505,0,0,-0.030629975,0,0,-0.001352426,,-0.003367002,1.036219111
04/05/2006,0.006682664,0.008194741,0,0,0.007429532,-0.001681555,0,0,0.005385983,0,0,0.015347642,,0.003446584,1.039790528
05/05/2006,0.009686481,0.007889312,0,0,0.014471394,0.006016383,0,0,-0.000357151,0,0,0.007557713,,0.003772011,1.043712629
08/05/2006,0.000268593,0.000948115,0,0,0.007269466,0.000598218,0,0,0.000357279,0,0,-0.006324464,,0.000259767,1.043983751
09/05/2006,-0.00020125,-0.003790831,0,0,0.003541092,-0.000597861,0,0,0.035714286,0,0,0.031379556,,0.005503749,1.049729576
10/05/2006,-0.00100639,-0.008801138,0,0,-0.013230329,0.001794136,0,0,0.001793105,0,0,0.01004588,,-0.000783728,1.048906874
11/05/2006,-0.009535282,-0.022318396,0,0,-0.021177426,-0.004895006,0,0,0.022993228,0,0,0.0092356,,-0.00214144,1.046660703
12/05/2006,-0.022169525,-0.013499938,0,0,-0.027957056,-0.008279721,0,0,-0.026648716,0,0,0.001267126,,-0.008107319,1.03817509
15/05/2006,-0.006586615,-0.000746999,0,0,-0.030351388,0.003993038,0,0,-0.082549731,0,0,-0.052165339,,-0.01403392,1.023605424
16/05/2006,-0.001187,-0.007469931,0,0,0.005738786,0.007471371,0,0,0.023360924,0,0,0.017801467,,0.003809635,1.027504987
17/05/2006,-0.021381561,-0.013547138,0,0,-0.03193788,-0.00621923,0,0,-0.036082458,0,0,-0.006704549,,-0.009656068,1.017583329
18/05/2006,-0.006497794,-0.006866315,0,0,-0.014314259,0.013600626,0,0,-0.03728036,0,0,-0.01012476,,-0.005123572,1.012369668
19/05/2006,0.002730905,0.007681366,0,0,0.005669074,0.002612784,0,0,-0.000158693,0,0,-0.027868326,,-0.000777741,1.011582307
22/05/2006,-0.008529119,-0.009656558,0,0,-0.051814648,0.002132061,0,0,-0.006746035,0,0,-0.004269576,,-0.006573656,1.004932512
23/05/2006,-0.009470098,-0.00975094,0,0,0.005537746,-0.000592177,0,0,0.042349158,0,0,0.016538961,,0.003717721,1.008668571
24/05/2006,0.002262312,0.00673722,0,0,-0.023163148,0.000473406,0,0,-0.038328861,0,0,-0.034950283,,-0.007247446,1.0013583
25/05/2006,0.012889027,0.013127575,0,0,0.038387925,-0.003899975,0,0,0.011159852,0,0,0.009990625,,0.006804586,1.008172128
26/05/2006,0.007836211,0.003302378,0,0,0.017885689,-0.000712257,0,0,-0.001182526,0,0,0.006182404,,0.002775992,1.010970806
30/05/2006,-0.017904746,-0.021524488,0,0,-0.042516516,-0.000474931,0,0,0.033701661,0,0,0.000153643,,-0.004047115,1.006879291
31/05/2006,0.019392788,0.004658856,0,0,0.009585685,-0.005939902,0,0,-0.035809717,0,0,-0.013515547,,-0.00180232,1.005064572
01/06/2006,0.01375147,0.023699249,0,0,0.020043478,0.004463718,0,0,-0.046563216,0,0,-0.026000341,,-0.000883803,1.004176293
02/06/2006,0.001897677,-0.002516219,0,0,0.012012964,0.012901383,0,0,0.011212644,0,0,0.015025553,,0.004211167,1.008405047
05/06/2006,-0.020624212,-0.021695479,0,0,-0.03498159,-0.001297517,0,0,-0.006817263,0,0,-0.003307072,,-0.007393594,1.000949309
06/06/2006,-0.007807853,-0.00077371,0,0,-0.01344076,0.00472369,0,0,-0.021253719,0,0,-0.011692237,,-0.004187049,0.996758285
07/06/2006,-0.010828507,-0.007483712,0,0,-0.020147083,0.000235557,0,0,0.002957317,0,0,-0.004316554,,-0.003298582,0.993470396
08/06/2006,-0.00481709,-0.001560408,0,0,-0.019381305,0.001997552,0,0,-0.053496229,0,0,-0.021997414,,-0.008271241,0.985253163
09/06/2006,-0.003226687,-0.006510064,0,0,-0.011858805,0.005277207,0,0,-0.00382726,0,0,-0.007552111,,-0.002308143,0.982979057
12/06/2006,-0.022880966,-0.019659311,0,0,-0.034437798,0.00081642,0,0,-0.023409585,0,0,-0.006947924,,-0.008876597,0.974253548
13/06/2006,-0.01460749,-0.004010826,0,0,-0.028280446,0.000698878,0,0,-0.119396182,0,0,-0.068465779,,-0.019505154,0.955250583
14/06/2006,0.006877448,0.01020142,0,0,0.031049954,-0.010017309,0,0,0.004675333,0,0,-0.005364793,,0.003118504,0.958229536
15/06/2006,0.030203765,0.027106018,0,0,0.055735302,-0.005764901,0,0,0.061427079,0,0,0.030564559,,0.016605985,0.974141882
16/06/2006,-0.004174312,-0.007352366,0,0,-0.007489878,-0.002249056,0,0,0.002533128,0,0,0.006280541,,-0.001037662,0.973131052
